,date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
18454,2021-01-12,17,Illinois,377,390.14285714285717,6642,6921.285714285715,7.598957745213262,0.5380472253011885
18455,2021-01-13,17,Illinois,403,390.57142857142856,5862,6677.428571428572,7.3256217767442,0.5358350296558105
18456,2021-01-14,17,Illinois,386,388.42857142857144,6652,6376.714285714285,7.098987982005723,0.5339469741543634
18457,2021-01-15,17,Illinois,346,380.0,6642,6000.285714285715,6.83866786910838,0.5275612426376033
18458,2021-01-16,17,Illinois,316,376.14285714285717,5343,5804.0,6.550507519334888,0.5220906448743874
18459,2021-01-17,17,Illinois,285,366.0,4162,5725.571428571428,6.35106397965722,0.5129113116006032
18460,2021-01-18,17,Illinois,356,352.7142857142857,3385,5526.857142857143,5.9904573136370445,0.5013632974976794
18461,2021-01-19,17,Illinois,346,348.2857142857143,4318,5194.857142857143,5.805477971405728,0.49026732964555164
18462,2021-01-20,17,Illinois,326,337.2857142857143,4822,5046.285714285715,5.611168060148597,0.47833902339225637
18463,2021-01-21,17,Illinois,372,335.2857142857143,4979,4807.285714285715,5.494565517830231,0.46562269854147137
18464,2021-01-22,17,Illinois,285,326.57142857142856,7042,4864.428571428572,5.255223474115116,0.4549808870905144
18465,2021-01-23,17,Illinois,279,321.2857142857143,5152,4837.142857142857,5.229994205284969,0.44673683949920584
18466,2021-01-24,17,Illinois,260,317.7142857142857,3292,4712.857142857143,5.048862509310665,0.4397825341721463
18467,2021-01-25,17,Illinois,341,315.57142857142856,2944,4649.857142857143,5.139238216222091,0.4369606001734584
18468,2021-01-26,17,Illinois,311,310.57142857142856,3667,4556.857142857143,5.020913504331062,0.43071421351394124
18469,2021-01-27,17,Illinois,307,307.85714285714283,3751,4403.857142857143,4.909733564996481,0.42251356468128337
18470,2021-01-28,17,Illinois,297,297.14285714285717,4191,4291.285714285715,4.70754372017012,0.40917997095248654
18471,2021-01-29,17,Illinois,258,293.2857142857143,4156,3879.0,4.596006899618856,0.39941604545126236
18472,2021-01-30,17,Illinois,229,286.14285714285717,3345,3620.8571428571427,4.377561754155508,0.3889080929603372
18473,2021-01-31,17,Illinois,217,280.0,2428,3497.4285714285716,4.321098412094954,0.3786917509409077
18474,2021-02-01,17,Illinois,271,270.0,2312,3407.1428571428573,4.208929173556624,0.3638053017663408
