date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
2021-05-07,19,Iowa,21,30.428571428571427,341,354.7142857142857,1.3573380275335063,0.11070934533995673
2021-05-08,19,Iowa,21,30.714285714285715,264,345.35714285714283,1.3233425605878575,0.10904634551827894
2021-05-09,19,Iowa,20,30.857142857142858,153,342.35714285714283,1.3018300211991263,0.10910995289617204
2021-05-10,19,Iowa,34,30.5,195,339.2857142857143,1.270000694823843,0.10588390998545336
2021-05-11,19,Iowa,32,30.142857142857142,280,333.0,1.2472239092411683,0.10434554487291853
2021-05-12,19,Iowa,22,29.285714285714285,374,323.57142857142856,1.2109712379965814,0.1033009203070057
2021-05-13,19,Iowa,23,28.714285714285715,256,309.7142857142857,1.1863419762375884,0.10097195805476916
2021-05-14,19,Iowa,30,29.0,235,300.92857142857144,1.1553831448385332,0.10013289027521678
2021-05-15,19,Iowa,14,27.857142857142858,175,285.92857142857144,1.1298253333473123,0.09858829741740667
2021-05-16,19,Iowa,21,27.0,138,274.7142857142857,1.1031264284688016,0.09636278950967984
2021-05-17,19,Iowa,35,26.928571428571427,124,267.14285714285717,1.0662312916427297,0.09482740626768436
2021-05-18,19,Iowa,25,26.285714285714285,199,254.42857142857142,1.0554567726369732,0.09409244857897181
2021-05-19,19,Iowa,17,24.428571428571427,291,243.85714285714286,1.070330420946227,0.09375325146976518
2021-05-20,19,Iowa,22,24.071428571428573,210,231.07142857142858,1.0431452545230226,0.09281236689624982
2021-05-21,19,Iowa,20,24.0,169,218.78571428571428,1.0099957596764486,0.09244758347973046
2021-05-22,19,Iowa,14,23.5,156,211.07142857142858,0.9814006903535412,0.09207382098591817
2021-05-23,19,Iowa,18,23.357142857142858,109,207.92857142857142,0.9639586780148277,0.09091654239447329
2021-05-24,19,Iowa,25,22.714285714285715,91,200.5,0.9392115545587821,0.09159810296251503
2021-05-25,19,Iowa,23,22.071428571428573,154,191.5,0.9153920939596438,0.09095772039168208
2021-05-26,19,Iowa,19,21.857142857142858,158,176.07142857142858,0.8878390000311058,0.09016767137026761
2021-05-27,19,Iowa,22,21.785714285714285,112,165.78571428571428,0.8588037989914117,0.08896592084068294
2021-05-28,19,Iowa,16,20.785714285714285,110,156.85714285714286,0.8220044091486759,0.08684866650010681
2021-05-29,19,Iowa,12,20.642857142857142,78,149.92857142857142,0.7909320098012467,0.08654869734387903
2021-05-30,19,Iowa,13,20.071428571428573,51,143.71428571428572,0.770721644467444,0.085495496438462
2021-05-31,19,Iowa,9,18.214285714285715,42,137.85714285714286,0.7368789631582671,0.08385343865667923
2021-06-01,19,Iowa,12,17.285714285714285,54,127.5,0.7045265231072262,0.08352268474998482
