key,level
MEX27,gadm1
MEX28,gadm1
MEX29,gadm1
MEX30,gadm1
MEX31,gadm1
MEX32,gadm1
MDA1,gadm1
MDA2,gadm1
MDA3,gadm1
MDA4,gadm1
MDA5,gadm1
MDA6,gadm1
MDA7,gadm1
MDA8,gadm1
MDA9,gadm1
MDA10,gadm1
MDA11,gadm1
MDA12,gadm1
MDA13,gadm1
MDA14,gadm1
MDA15,gadm1
MDA16,gadm1
MDA17,gadm1
MDA18,gadm1
MDA19,gadm1
MDA20,gadm1
MDA21,gadm1
MDA22,gadm1
MDA23,gadm1
MDA24,gadm1
MDA25,gadm1
MDA26,gadm1
MDA27,gadm1
MDA28,gadm1
MDA29,gadm1
MDA30,gadm1
MDA31,gadm1
MDA32,gadm1
MDA33,gadm1
MDA34,gadm1
MDA35,gadm1
MDA36,gadm1
MDA37,gadm1
MNG1,gadm1
MNG2,gadm1
MNG3,gadm1
MNG4,gadm1
MNG5,gadm1
MNG6,gadm1
MNG7,gadm1
MNG8,gadm1
MNG9,gadm1
MNG10,gadm1
MNG11,gadm1
MNG12,gadm1
MNG13,gadm1
MNG14,gadm1
MNG15,gadm1
MNG16,gadm1
MNG17,gadm1
MNG18,gadm1
MNG19,gadm1
MNG20,gadm1
MNG21,gadm1
MNG22,gadm1
MAR1,gadm1
MAR2,gadm1
MAR3,gadm1
MAR4,gadm1
MAR5,gadm1
MAR6,gadm1
MAR7,gadm1
MAR8,gadm1
MAR9,gadm1
MAR10,gadm1
MAR11,gadm1
MAR12,gadm1
MAR13,gadm1
MAR14,gadm1
MAR15,gadm1
MOZ1,gadm1
MOZ2,gadm1
MOZ3,gadm1
MOZ4,gadm1
MOZ5,gadm1
MOZ6,gadm1
MOZ7,gadm1
MOZ8,gadm1
MOZ9,gadm1
MOZ10,gadm1
MOZ11,gadm1
MMR1,gadm1
MMR2,gadm1
MMR3,gadm1
MMR4,gadm1
MMR5,gadm1
MMR6,gadm1
MMR7,gadm1
MMR8,gadm1
MMR9,gadm1
MMR10,gadm1
MMR11,gadm1
MMR12,gadm1
MMR13,gadm1
MMR14,gadm1
MMR15,gadm1
NAM1,gadm1
NAM2,gadm1
NAM3,gadm1
NAM4,gadm1
NAM5,gadm1
NAM6,gadm1
NAM7,gadm1
NAM8,gadm1
NAM9,gadm1
NAM10,gadm1
NAM11,gadm1
NAM12,gadm1
NAM13,gadm1
NPL1,gadm1
NPL2,gadm1
NPL3,gadm1
NPL4,gadm1
NPL5,gadm1
NZL1,gadm1
NZL2,gadm1
NZL3,gadm1
NZL4,gadm1
NZL5,gadm1
NZL6,gadm1
NZL7,gadm1
NZL8,gadm1
NZL9,gadm1
NZL10,gadm1
NZL11,gadm1
NZL12,gadm1
NZL13,gadm1
NZL14,gadm1
NZL15,gadm1
NZL16,gadm1
NIC1,gadm1
NIC2,gadm1
NIC3,gadm1
NIC4,gadm1
NIC5,gadm1
NIC6,gadm1
NIC7,gadm1
NIC8,gadm1
NIC9,gadm1
NIC10,gadm1
NIC11,gadm1
NIC12,gadm1
NIC13,gadm1
NIC14,gadm1
NIC15,gadm1
NIC16,gadm1
NIC17,gadm1
NIC18,gadm1
NER1,gadm1
NER2,gadm1
NER3,gadm1
NER4,gadm1
NER5,gadm1
NER6,gadm1
NER7,gadm1
NER8,gadm1
NGA1,gadm1
NGA2,gadm1
NGA3,gadm1
NGA4,gadm1
NGA5,gadm1
NGA6,gadm1
NGA7,gadm1
NGA8,gadm1
NGA9,gadm1
NGA10,gadm1
NGA11,gadm1
NGA12,gadm1
NGA13,gadm1
NGA14,gadm1
NGA15,gadm1
NGA16,gadm1
NGA17,gadm1
NGA18,gadm1
NGA19,gadm1
NGA20,gadm1
NGA21,gadm1
NGA22,gadm1
NGA23,gadm1
NGA24,gadm1
NGA25,gadm1
NGA26,gadm1
NGA27,gadm1
NGA28,gadm1
NGA29,gadm1
NGA30,gadm1
NGA31,gadm1
NGA32,gadm1
NGA33,gadm1
NGA34,gadm1
NGA35,gadm1
NGA36,gadm1
NGA37,gadm1
OMN1,gadm1
OMN2,gadm1
OMN3,gadm1
OMN4,gadm1
OMN5,gadm1
OMN6,gadm1
OMN7,gadm1
OMN8,gadm1
OMN9,gadm1
OMN10,gadm1
OMN11,gadm1
PAK1,gadm1
PAK2,gadm1
PAK3,gadm1
PAK4,gadm1
PAK5,gadm1
PAK6,gadm1
PAK7,gadm1
PAK8,gadm1
PAN1,gadm1
PAN2,gadm1
PAN3,gadm1
PAN4,gadm1
PAN5,gadm1
PAN6,gadm1
PAN7,gadm1
PAN8,gadm1
